brightness,latitude,longitude,timestamp
20,57.1466768486957,-2.10116400383609,"2016-02-11 18:08:18"
22,57.1466768486957,-2.10116400383609,"2016-02-11 18:08:18"
17,57.1466768486957,-2.10116400383609,"2016-02-11 18:08:18"
4,57.1466768486957,-2.10116400383609,"2016-02-11 18:08:18"
3,57.1466768486957,-2.10116400383609,"2016-02-11 18:08:18"
1,57.1466768486957,-2.10116400383609,"2016-02-11 18:08:18"
1,57.1466768486957,-2.10116400383609,"2016-02-11 18:08:18"
1,57.1466768486957,-2.10116400383609,"2016-02-11 18:08:18"
1,57.1466191392924,-2.10102905519502,"2016-02-11 18:08:22"
6,57.1466191392924,-2.10102905519502,"2016-02-11 18:08:22"
12,57.1466191392924,-2.10102905519502,"2016-02-11 18:08:22"
7,57.1466191392924,-2.10102905519502,"2016-02-11 18:08:22"
12,57.1466191392924,-2.10102905519502,"2016-02-11 18:08:22"
33,57.1466191392924,-2.10102905519502,"2016-02-11 18:08:22"
26,57.1466191392924,-2.10102905519502,"2016-02-11 18:08:22"
6,57.1466191392924,-2.10102905519502,"2016-02-11 18:08:22"
3,57.1466191392924,-2.10102905519502,"2016-02-11 18:08:22"
10,57.1466191392924,-2.10102905519502,"2016-02-11 18:08:22"
12,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
12,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
10,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
8,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
17,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
20,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
27,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
51,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
66,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
18,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
18,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
31,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
12,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
7,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
6,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
13,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
21,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
28,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
20,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
120,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
64,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
151,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
46,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
10,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
4,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
6,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
6,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
5,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
13,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
13,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
10,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
8,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
7,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
6,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
6,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
7,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
6,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
9,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
12,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
21,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
23,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
9,57.1467189258497,-2.10110533051388,"2016-02-11 18:08:27"
4,57.1467882860984,-2.10121521726446,"2016-02-11 18:08:48"
9,57.1467882860984,-2.10121521726446,"2016-02-11 18:08:48"
7,57.1467882860984,-2.10121521726446,"2016-02-11 18:08:48"
6,57.1467882860984,-2.10121521726446,"2016-02-11 18:08:48"
6,57.1467882860984,-2.10121521726446,"2016-02-11 18:08:48"
8,57.1467882860984,-2.10121521726446,"2016-02-11 18:08:48"
9,57.1467882860984,-2.10121521726446,"2016-02-11 18:08:48"
10,57.1467882860984,-2.10121521726446,"2016-02-11 18:08:48"
12,57.1468630107652,-2.10133356973725,"2016-02-11 18:08:52"
13,57.1468630107652,-2.10133356973725,"2016-02-11 18:08:52"
14,57.1468630107652,-2.10133356973725,"2016-02-11 18:08:52"
15,57.1468630107652,-2.10133356973725,"2016-02-11 18:08:52"
15,57.1468630107652,-2.10133356973725,"2016-02-11 18:08:52"
1,57.1468630107652,-2.10133356973725,"2016-02-11 18:08:52"
11,57.1468630107652,-2.10133356973725,"2016-02-11 18:08:52"
10,57.1468630107652,-2.10133356973725,"2016-02-11 18:08:52"
9,57.1468630107652,-2.10133356973725,"2016-02-11 18:08:52"
7,57.1468630107652,-2.10133356973725,"2016-02-11 18:08:52"
7,57.1468630107652,-2.10133356973725,"2016-02-11 18:08:52"
7,57.1468630107652,-2.10133356973725,"2016-02-11 18:08:52"
4,57.1468630107652,-2.10133356973725,"2016-02-11 18:08:52"
