ZBRIGHTNESS,latitude,longitude,timestamp
16,57.1649452066581,-2.09952349774735,"2016-02-11 16:20:30"
17,57.1649452066581,-2.09952349774735,"2016-02-11 16:20:30"
16,57.1649452066581,-2.09952349774735,"2016-02-11 16:20:30"
15,57.1649452066581,-2.09952349774735,"2016-02-11 16:20:30"
16,57.1649452066581,-2.09952349774735,"2016-02-11 16:20:30"
12,57.1649452066581,-2.09952349774735,"2016-02-11 16:20:30"
12,57.1648578253176,-2.09948502481179,"2016-02-11 16:20:38"
16,57.1648578253176,-2.09948502481179,"2016-02-11 16:20:38"
16,57.1648578253176,-2.09948502481179,"2016-02-11 16:20:38"
17,57.1648578253176,-2.09948502481179,"2016-02-11 16:20:38"
18,57.1648578253176,-2.09948502481179,"2016-02-11 16:20:38"
18,57.1648578253176,-2.09948502481179,"2016-02-11 16:20:38"
17,57.1648578253176,-2.09948502481179,"2016-02-11 16:20:38"
16,57.1648578253176,-2.09948502481179,"2016-02-11 16:20:38"
19,57.1648578253176,-2.09948502481179,"2016-02-11 16:20:38"
17,57.1648578253176,-2.09948502481179,"2016-02-11 16:20:38"
591,57.1648578253176,-2.09948502481179,"2016-02-11 16:20:38"
510,57.1648578253176,-2.09948502481179,"2016-02-11 16:20:38"
374,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
17,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
17,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
15,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
17,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
21,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
23,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
27,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
25,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
25,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
31,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
25,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
22,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
24,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
22,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
21,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
21,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
18,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
21,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
19,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
3,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
3,57.1647597151409,-2.09953598678308,"2016-02-11 16:20:44"
14,57.1647317195844,-2.09971502423482,"2016-02-11 16:20:55"
8,57.1647317195844,-2.09971502423482,"2016-02-11 16:20:55"
13,57.1647317195844,-2.09971502423482,"2016-02-11 16:20:55"
6,57.1647317195844,-2.09971502423482,"2016-02-11 16:20:55"
6,57.1647317195844,-2.09971502423482,"2016-02-11 16:20:55"
4,57.1647317195844,-2.09971502423482,"2016-02-11 16:20:55"
5,57.1647317195844,-2.09971502423482,"2016-02-11 16:20:55"
11,57.1647317195844,-2.09971502423482,"2016-02-11 16:20:55"
6,57.1647317195844,-2.09971502423482,"2016-02-11 16:20:55"
8,57.1647317195844,-2.09971502423482,"2016-02-11 16:20:55"
9,57.1647317195844,-2.09971502423482,"2016-02-11 16:20:55"
8,57.1647317195844,-2.09971502423482,"2016-02-11 16:20:55"
22,57.1647317195844,-2.09971502423482,"2016-02-11 16:20:55"
427,57.1647317195844,-2.09971502423482,"2016-02-11 16:20:55"
700,57.1647236310478,-2.09988065064149,"2016-02-11 16:21:02"
69,57.1647236310478,-2.09988065064149,"2016-02-11 16:21:02"
15,57.1647236310478,-2.09988065064149,"2016-02-11 16:21:02"
21,57.1647236310478,-2.09988065064149,"2016-02-11 16:21:02"
22,57.1647236310478,-2.09988065064149,"2016-02-11 16:21:02"
14,57.1647236310478,-2.09988065064149,"2016-02-11 16:21:02"
15,57.1647236310478,-2.09988065064149,"2016-02-11 16:21:02"
13,57.1647236310478,-2.09988065064149,"2016-02-11 16:21:02"
14,57.1647236310478,-2.09988065064149,"2016-02-11 16:21:02"
14,57.1647236310478,-2.09988065064149,"2016-02-11 16:21:02"
17,57.1647236310478,-2.09988065064149,"2016-02-11 16:21:02"
13,57.1647236310478,-2.09988065064149,"2016-02-11 16:21:02"
14,57.1647111839216,-2.10005633533197,"2016-02-11 16:21:08"
13,57.1647111839216,-2.10005633533197,"2016-02-11 16:21:08"
15,57.1647111839216,-2.10005633533197,"2016-02-11 16:21:08"
13,57.1647111839216,-2.10005633533197,"2016-02-11 16:21:08"
12,57.1647111839216,-2.10005633533197,"2016-02-11 16:21:08"
15,57.1647111839216,-2.10005633533197,"2016-02-11 16:21:08"
14,57.1647111839216,-2.10005633533197,"2016-02-11 16:21:08"
16,57.1647111839216,-2.10005633533197,"2016-02-11 16:21:08"
12,57.1647111839216,-2.10005633533197,"2016-02-11 16:21:08"
22,57.1647111839216,-2.10005633533197,"2016-02-11 16:21:08"
471,57.1647111839216,-2.10005633533197,"2016-02-11 16:21:08"
18,57.1647111839216,-2.10005633533197,"2016-02-11 16:21:08"
657,57.1647077892508,-2.10024543106752,"2016-02-11 16:21:14"
22,57.1647077892508,-2.10024543106752,"2016-02-11 16:21:14"
18,57.1647077892508,-2.10024543106752,"2016-02-11 16:21:14"
